Step 3600/900000, Total Loss: 3.3483, Mel Loss: 0.8673, Mel PostNet Loss: 0.8688, Pitch Loss: 0.6677, Energy Loss: 0.7966, Duration Loss: 0.1479
Step 3700/900000, Total Loss: 3.2280, Mel Loss: 0.7737, Mel PostNet Loss: 0.7749, Pitch Loss: 0.8944, Energy Loss: 0.6589, Duration Loss: 0.1261
Step 3800/900000, Total Loss: 2.7529, Mel Loss: 0.7880, Mel PostNet Loss: 0.7993, Pitch Loss: 0.6513, Energy Loss: 0.4027, Duration Loss: 0.1117
Step 3900/900000, Total Loss: 3.3523, Mel Loss: 0.8608, Mel PostNet Loss: 0.8634, Pitch Loss: 1.0722, Energy Loss: 0.3857, Duration Loss: 0.1703
Step 4000/900000, Total Loss: 2.9925, Mel Loss: 0.8064, Mel PostNet Loss: 0.8111, Pitch Loss: 0.8929, Energy Loss: 0.3656, Duration Loss: 0.1165
Step 4100/900000, Total Loss: 7.3001, Mel Loss: 0.7920, Mel PostNet Loss: 0.7923, Pitch Loss: 5.2227, Energy Loss: 0.3899, Duration Loss: 0.1033
Step 4200/900000, Total Loss: 2.6601, Mel Loss: 0.7972, Mel PostNet Loss: 0.7965, Pitch Loss: 0.3766, Energy Loss: 0.5839, Duration Loss: 0.1058
Step 4300/900000, Total Loss: 2.7385, Mel Loss: 0.7684, Mel PostNet Loss: 0.7700, Pitch Loss: 0.4209, Energy Loss: 0.6528, Duration Loss: 0.1264
Step 4400/900000, Total Loss: 2.8026, Mel Loss: 0.7627, Mel PostNet Loss: 0.7664, Pitch Loss: 0.6084, Energy Loss: 0.5226, Duration Loss: 0.1425
Step 4500/900000, Total Loss: 3.2265, Mel Loss: 0.7531, Mel PostNet Loss: 0.7518, Pitch Loss: 1.1105, Energy Loss: 0.4704, Duration Loss: 0.1407
Step 4600/900000, Total Loss: 3.4446, Mel Loss: 0.8099, Mel PostNet Loss: 0.8076, Pitch Loss: 1.2247, Energy Loss: 0.4620, Duration Loss: 0.1404
Step 4700/900000, Total Loss: 3.0561, Mel Loss: 0.7815, Mel PostNet Loss: 0.7837, Pitch Loss: 0.8599, Energy Loss: 0.5089, Duration Loss: 0.1221
Step 4800/900000, Total Loss: 3.3846, Mel Loss: 0.7786, Mel PostNet Loss: 0.7775, Pitch Loss: 0.9869, Energy Loss: 0.7036, Duration Loss: 0.1381
Step 4900/900000, Total Loss: 3.4333, Mel Loss: 0.7484, Mel PostNet Loss: 0.7520, Pitch Loss: 1.5250, Energy Loss: 0.3122, Duration Loss: 0.0956
Step 5000/900000, Total Loss: 2.4812, Mel Loss: 0.7454, Mel PostNet Loss: 0.7455, Pitch Loss: 0.4782, Energy Loss: 0.3885, Duration Loss: 0.1237
Step 5100/900000, Total Loss: 2.5422, Mel Loss: 0.6745, Mel PostNet Loss: 0.6749, Pitch Loss: 0.6973, Energy Loss: 0.3772, Duration Loss: 0.1184
Step 5200/900000, Total Loss: 3.4194, Mel Loss: 0.7843, Mel PostNet Loss: 0.7852, Pitch Loss: 1.1203, Energy Loss: 0.5759, Duration Loss: 0.1536
Step 5300/900000, Total Loss: 2.9760, Mel Loss: 0.7756, Mel PostNet Loss: 0.7759, Pitch Loss: 0.8729, Energy Loss: 0.4361, Duration Loss: 0.1155
Step 5400/900000, Total Loss: 3.1280, Mel Loss: 0.8064, Mel PostNet Loss: 0.8072, Pitch Loss: 0.8314, Energy Loss: 0.5847, Duration Loss: 0.0983
Step 5500/900000, Total Loss: 2.4543, Mel Loss: 0.7410, Mel PostNet Loss: 0.7405, Pitch Loss: 0.4470, Energy Loss: 0.4178, Duration Loss: 0.1079
Step 5600/900000, Total Loss: 3.2735, Mel Loss: 0.7481, Mel PostNet Loss: 0.7484, Pitch Loss: 0.6993, Energy Loss: 0.9435, Duration Loss: 0.1343
Step 5700/900000, Total Loss: 4.4404, Mel Loss: 0.7780, Mel PostNet Loss: 0.7774, Pitch Loss: 1.8611, Energy Loss: 0.8951, Duration Loss: 0.1289
Step 5800/900000, Total Loss: 2.8275, Mel Loss: 0.7315, Mel PostNet Loss: 0.7314, Pitch Loss: 0.7700, Energy Loss: 0.4844, Duration Loss: 0.1102
Step 5900/900000, Total Loss: 2.5183, Mel Loss: 0.7101, Mel PostNet Loss: 0.7107, Pitch Loss: 0.4550, Energy Loss: 0.4966, Duration Loss: 0.1459
Step 6000/900000, Total Loss: 4.1743, Mel Loss: 0.7603, Mel PostNet Loss: 0.7637, Pitch Loss: 1.5514, Energy Loss: 0.9590, Duration Loss: 0.1399
Step 6100/900000, Total Loss: 3.2018, Mel Loss: 0.7256, Mel PostNet Loss: 0.7256, Pitch Loss: 0.9110, Energy Loss: 0.7480, Duration Loss: 0.0915
Step 6200/900000, Total Loss: 2.9191, Mel Loss: 0.7267, Mel PostNet Loss: 0.7263, Pitch Loss: 0.9824, Energy Loss: 0.3473, Duration Loss: 0.1364
Step 6300/900000, Total Loss: 2.4930, Mel Loss: 0.7377, Mel PostNet Loss: 0.7376, Pitch Loss: 0.4061, Energy Loss: 0.5191, Duration Loss: 0.0924
Step 6400/900000, Total Loss: 3.3105, Mel Loss: 0.7673, Mel PostNet Loss: 0.7674, Pitch Loss: 0.7925, Energy Loss: 0.8804, Duration Loss: 0.1029
Step 6500/900000, Total Loss: 2.9266, Mel Loss: 0.7167, Mel PostNet Loss: 0.7168, Pitch Loss: 0.7670, Energy Loss: 0.6182, Duration Loss: 0.1079
Step 6600/900000, Total Loss: 2.7569, Mel Loss: 0.7603, Mel PostNet Loss: 0.7607, Pitch Loss: 0.6790, Energy Loss: 0.4289, Duration Loss: 0.1280
Step 6700/900000, Total Loss: 2.7488, Mel Loss: 0.6747, Mel PostNet Loss: 0.6747, Pitch Loss: 0.8341, Energy Loss: 0.4648, Duration Loss: 0.1004
Step 6800/900000, Total Loss: 2.2857, Mel Loss: 0.7001, Mel PostNet Loss: 0.7001, Pitch Loss: 0.4542, Energy Loss: 0.3392, Duration Loss: 0.0921
Step 6900/900000, Total Loss: 2.4421, Mel Loss: 0.6916, Mel PostNet Loss: 0.6918, Pitch Loss: 0.5545, Energy Loss: 0.3919, Duration Loss: 0.1122
Step 7000/900000, Total Loss: 2.9671, Mel Loss: 0.7010, Mel PostNet Loss: 0.7011, Pitch Loss: 0.8435, Energy Loss: 0.6269, Duration Loss: 0.0946
Step 7100/900000, Total Loss: 2.2378, Mel Loss: 0.6600, Mel PostNet Loss: 0.6601, Pitch Loss: 0.3681, Energy Loss: 0.4339, Duration Loss: 0.1158
Step 7200/900000, Total Loss: 2.9775, Mel Loss: 0.6478, Mel PostNet Loss: 0.6479, Pitch Loss: 1.1528, Energy Loss: 0.4253, Duration Loss: 0.1037
